variant,trades,win%,net%,cagr%,dd%,pf,sharpe,best%,worst%,bh%
STRONG baseline (trail-fix + pyramid3),23.0,33.6,19.4,1.68,9.9,2.38,0.33,53.0,-12.0,1889.0
+ macro LOOSE,23.0,33.3,18.6,1.6,10.0,2.34,0.32,53.0,-12.0,1889.0
+ sector LOOSE,22.0,34.0,18.6,1.6,9.7,2.44,0.32,55.0,-12.0,1889.0
+ trend LOOSE (block STRONG_DOWN only),23.0,33.6,19.4,1.68,9.9,2.38,0.33,53.0,-12.0,1889.0
+ exit_on_macro_panic,23.0,32.9,18.3,1.58,9.8,2.32,0.32,53.0,-12.0,1889.0
+ exit_on_sector_death,24.0,31.1,18.6,1.6,9.7,2.42,0.32,56.0,-12.0,1889.0
+ macro+sector LOOSE,22.0,34.0,18.5,1.59,9.7,2.43,0.32,55.0,-12.0,1889.0
+ all LOOSE filters,22.0,34.0,18.5,1.59,9.7,2.43,0.32,55.0,-12.0,1889.0
+ all LOOSE + exit_on_panic,22.0,33.8,18.3,1.58,9.5,2.41,0.32,55.0,-9.0,1889.0
+ continuation_entries,24.0,34.2,19.6,1.69,9.8,2.37,0.34,64.0,-12.0,1889.0
+ pyramid(3) + 2% risk,21.0,33.1,40.0,2.97,17.8,2.22,0.32,123.0,-23.0,1889.0
+ pyramid(3) + 3% risk,16.0,38.5,54.7,3.64,20.8,inf,0.32,214.0,-22.0,1889.0
