variant,trades,win%,net%,cagr%,dd%,pf,sharpe,best%,worst%,bh%
STRONG baseline (trail-fix + pyramid3),24.0,39.3,24.8,2.2,8.0,2.72,0.48,51.0,1.0,2141.0
+ macro LOOSE,24.0,38.6,22.8,2.01,8.2,2.61,0.44,51.0,-3.0,2141.0
+ sector LOOSE,23.0,38.7,22.8,2.02,8.3,2.64,0.44,51.0,-1.0,2141.0
+ trend LOOSE (block STRONG_DOWN only),24.0,39.3,24.8,2.2,8.0,2.72,0.48,51.0,1.0,2141.0
+ exit_on_macro_panic,25.0,37.9,22.2,1.97,8.2,2.56,0.43,50.0,-3.0,2141.0
+ exit_on_sector_death,25.0,35.6,23.3,2.07,8.1,2.65,0.46,51.0,1.0,2141.0
+ macro+sector LOOSE,23.0,38.7,22.5,2.0,8.3,2.63,0.44,51.0,-1.0,2141.0
+ all LOOSE filters,23.0,38.7,22.5,2.0,8.3,2.63,0.44,51.0,-1.0,2141.0
+ all LOOSE + exit_on_panic,24.0,38.1,21.9,1.95,8.3,2.57,0.43,50.0,-1.0,2141.0
+ continuation_entries,25.0,40.3,24.4,2.17,7.8,2.65,0.48,49.0,1.0,2141.0
+ pyramid(3) + 2% risk,21.0,38.6,48.6,3.8,14.2,2.55,0.44,120.0,-6.0,2141.0
+ pyramid(3) + 3% risk,16.0,50.3,67.8,4.93,18.3,inf,0.48,141.0,-3.0,2141.0
