conc,risk,trail,tr_cagr,tr_dd,tr_sharpe,te_cagr,te_dd,te_sharpe,sharpe_decay,cagr_decay,robust_score
5,0.5,5.0,10.5,9.7,0.98,11.2,19.3,0.93,-0.05,0.7,0.905
5,0.5,10.0,11.9,11.6,0.96,16.4,14.1,1.27,0.3,4.5,1.12
5,0.5,15.0,15.5,13.7,1.17,14.7,14.0,1.1,-0.08,-0.9,1.06
5,1.0,5.0,9.6,13.0,0.76,19.6,25.2,1.12,0.36,10.0,0.9400000000000002
5,1.0,10.0,11.8,19.8,0.77,25.7,14.9,1.33,0.57,13.9,1.0450000000000002
5,1.0,15.0,21.0,20.5,1.27,25.6,19.2,1.28,0.01,4.6,1.2750000000000001
5,1.5,5.0,9.6,15.9,0.69,19.4,30.7,1.02,0.33,9.7,0.855
5,1.5,10.0,13.0,19.7,0.79,25.3,15.8,1.22,0.43,12.3,1.005
5,1.5,15.0,22.1,25.7,1.25,24.2,19.7,1.15,-0.1,2.1,1.0999999999999999
5,2.0,5.0,8.0,24.1,0.56,20.8,33.2,1.03,0.47,12.8,0.795
5,2.0,10.0,14.6,20.9,0.84,27.3,18.4,1.26,0.41,12.7,1.055
5,2.0,15.0,18.2,30.9,1.05,25.4,21.0,1.16,0.11,7.2,1.105
10,0.5,5.0,12.3,10.6,1.04,21.7,21.0,1.32,0.28,9.5,1.1800000000000002
10,0.5,10.0,14.7,14.5,1.06,19.7,15.7,1.2,0.15,5.0,1.125
10,0.5,15.0,16.9,17.6,1.15,21.4,14.8,1.24,0.09,4.4,1.195
10,1.0,5.0,14.0,10.9,0.99,22.4,24.7,1.21,0.22,8.4,1.0999999999999999
10,1.0,10.0,12.3,16.7,0.86,16.7,15.4,0.99,0.13,4.4,0.925
10,1.0,15.0,23.3,17.1,1.38,23.1,16.9,1.16,-0.22,-0.2,1.0499999999999998
10,1.5,5.0,13.9,15.0,0.93,21.9,29.0,1.14,0.21,8.0,1.035
10,1.5,10.0,15.6,17.5,0.98,17.7,17.5,1.02,0.04,2.0,1.0
10,1.5,15.0,24.3,25.6,1.33,27.4,20.5,1.28,-0.05,3.1,1.2550000000000001
10,2.0,5.0,12.1,19.6,0.79,26.6,34.2,1.22,0.43,14.5,1.005
10,2.0,10.0,15.9,17.8,0.96,27.4,12.3,1.35,0.39,11.5,1.155
10,2.0,15.0,19.9,30.0,1.1,19.8,31.6,0.95,-0.15,-0.1,0.875
15,0.5,5.0,12.7,10.6,1.08,21.8,20.2,1.29,0.21,9.1,1.185
15,0.5,10.0,13.4,13.4,0.98,20.1,14.5,1.2,0.22,6.7,1.0899999999999999
15,0.5,15.0,18.7,17.7,1.23,19.1,18.4,1.11,-0.12,0.4,1.05
15,1.0,5.0,15.6,11.1,1.12,19.4,26.8,1.09,-0.02,3.8,1.08
15,1.0,10.0,13.4,16.8,0.93,16.4,22.2,0.95,0.01,2.9,0.945
15,1.0,15.0,24.1,17.4,1.42,19.9,20.8,1.14,-0.28,-4.2,0.9999999999999999
15,1.5,5.0,13.3,13.5,0.92,19.4,29.8,1.03,0.1,6.1,0.98
15,1.5,10.0,13.4,18.3,0.89,15.5,27.4,0.85,-0.04,2.0,0.83
15,1.5,15.0,25.4,19.1,1.41,20.0,24.8,1.02,-0.39,-5.4,0.825
15,2.0,5.0,15.7,16.3,0.99,24.0,29.2,1.15,0.16,8.3,1.0699999999999998
15,2.0,10.0,6.7,21.3,0.49,19.0,28.1,0.94,0.45,12.3,0.715
15,2.0,15.0,18.9,24.8,1.1,17.7,22.9,0.94,-0.16,-1.2,0.86
