variant,trades,win%,net%,cagr%,dd%,sharpe
P11: max_concurrent=10,338,26.3,601.0,22.0,14.5,1.31
P9: + partial scale-out (1/3 @2R + @5R),291,56.7,257.0,13.9,15.3,1.14
P13: ALL combined,273,60.8,236.0,13.6,13.2,1.11
P1: baseline EMA-only,168,25.6,452.0,19.1,17.6,1.1
P5: Donchian 20 ONLY,161,30.4,373.0,17.2,22.0,1.06
P3: + Donchian 55 entry,182,22.5,402.0,17.9,18.3,1.04
P6: EMA + Donchian 55 combined,182,22.5,402.0,17.9,18.3,1.04
P8: + RS filter (top 50%),161,28.0,394.0,18.3,18.4,1.02
P12: 500-day + RS top 30%,146,30.1,410.0,18.7,20.7,1.02
P2: + 500-day trend filter,168,24.4,350.0,16.6,20.4,1.0
P10: 500-day MA + Donchian 55,172,24.4,343.0,16.4,20.9,0.99
P4: Donchian 55 ONLY (no EMA),146,28.1,294.0,15.1,24.2,0.96
P7: + RS filter (top 30%),146,30.8,326.0,16.5,20.7,0.94
