variant,trades,win%,net%,cagr%,dd%,pf,sharpe,best%,worst%
  risk 3%,29.0,31.1,139.8,7.39,29.6,2.22,0.48,504.0,-30.0
  risk 2%,36.0,29.6,102.2,6.28,24.5,2.17,0.51,264.0,-21.0
  trail 10xATR (very loose),23.0,26.5,92.8,5.79,17.1,4.2,0.62,507.0,-6.0
  trail 8xATR (looser),26.0,29.6,72.9,4.96,15.4,3.21,0.59,305.0,-7.0
  pyramid 5 spaced 1.0ATR,40.0,27.5,58.2,4.28,17.0,2.3,0.52,140.0,-16.0
  full pyramid (no size reduction),40.0,27.1,56.3,4.17,16.8,2.31,0.52,136.0,-15.0
  trail 6xATR,34.0,27.3,52.0,3.92,14.8,2.37,0.52,185.0,-4.0
  stop 1xATR (tight),61.0,17.9,50.4,3.59,23.7,1.68,0.38,177.0,-31.0
  pyramid 4 spaced 1.5ATR,40.0,28.6,49.0,3.76,15.6,2.23,0.51,113.0,-12.0
  no time stop,40.0,28.8,44.2,3.46,14.7,2.19,0.51,103.0,-12.0
"BASE (pure trend, pyramid3, 5xATR)",40.0,28.8,44.2,3.46,14.7,2.19,0.51,103.0,-12.0
  trail 4xATR,50.0,30.7,41.3,3.27,14.2,1.95,0.5,110.0,-11.0
  stop 3xATR (loose),38.0,30.3,40.4,3.25,13.5,2.22,0.51,96.0,-11.0
  pyramid max=2,40.0,30.1,40.1,3.2,13.9,2.11,0.51,92.0,-11.0
  no pyramid,40.0,31.3,33.0,2.72,12.7,2.02,0.49,74.0,-10.0
  trail 3xATR (tighter),68.0,33.8,32.5,2.64,12.9,1.71,0.44,99.0,-16.0
  risk 0.5%,41.0,28.5,19.9,1.76,8.0,2.21,0.48,44.0,-7.0
