variant,trades,win%,net%,cagr%,dd%,pf,sharpe,best%,worst%
  risk 3%,28.0,40.4,163.7,9.24,22.4,2.76,0.65,504.0,32.0
  risk 2%,35.0,35.7,123.8,7.94,18.9,2.49,0.69,264.0,36.0
  trail 10xATR (very loose),20.0,36.4,117.9,6.94,14.9,6.66,0.74,507.0,36.0
  trail 8xATR (looser),24.0,40.0,85.4,5.83,12.8,4.46,0.71,266.0,20.0
  pyramid 5 spaced 1.0ATR,39.0,33.0,71.8,5.36,13.1,2.61,0.68,136.0,29.0
  full pyramid (no size reduction),39.0,33.0,69.9,5.26,12.9,2.64,0.68,136.0,30.0
  stop 1xATR (tight),60.0,21.5,63.2,4.79,19.1,1.87,0.54,123.0,11.0
  trail 6xATR,34.0,32.7,63.1,4.74,12.0,2.65,0.66,185.0,21.0
  pyramid 4 spaced 1.5ATR,39.0,34.7,61.5,4.76,12.1,2.55,0.67,113.0,27.0
  trail 4xATR,49.0,35.8,57.6,4.52,11.1,2.35,0.7,110.0,29.0
  no time stop,39.0,34.5,54.9,4.35,11.3,2.49,0.67,103.0,25.0
"BASE (pure trend, pyramid3, 5xATR)",39.0,34.5,54.9,4.35,11.3,2.49,0.67,103.0,25.0
  stop 3xATR (loose),38.0,35.8,50.7,4.09,10.4,2.5,0.67,87.0,25.0
  pyramid max=2,39.0,35.7,49.8,4.02,10.6,2.39,0.67,92.0,23.0
  trail 3xATR (tighter),69.0,38.1,43.4,3.6,10.4,1.93,0.62,81.0,19.0
  no pyramid,39.0,37.3,41.1,3.42,9.8,2.27,0.66,74.0,19.0
  risk 0.5%,40.0,34.3,24.6,2.19,6.1,2.55,0.64,44.0,12.0
