ticker,trades,win%,net%,cagr%,dd%,sharpe,bh%
AAPL,21,38.1,137.2,9.02,21.3,0.68,1307.0
ABBV,22,22.7,74.2,5.71,30.4,0.49,449.0
ADBE,15,46.7,137.2,9.03,17.2,0.71,153.0
AMD,21,28.6,225.5,12.53,35.7,0.69,11472.0
AMZN,17,41.2,91.1,6.69,25.5,0.51,664.0
AVGO,27,25.9,295.7,14.75,25.3,0.84,3554.0
BA,19,26.3,110.0,7.71,28.7,0.68,88.0
BAC,18,33.3,69.7,5.43,23.8,0.52,347.0
C,20,30.0,61.0,4.88,26.5,0.45,274.0
CAT,22,18.2,228.0,12.62,26.3,0.86,1469.0
COIN,13,15.4,-0.4,-0.09,30.8,0.07,-44.0
COP,15,26.7,35.5,3.08,18.3,0.34,276.0
CRM,14,50.0,57.4,4.64,18.6,0.42,124.0
CVX,32,6.2,-15.8,-1.71,37.5,-0.1,194.0
GE,12,33.3,139.5,9.13,19.6,0.72,141.0
GOOGL,22,31.8,124.0,8.4,26.9,0.66,977.0
GS,18,22.2,167.3,10.34,25.0,0.86,687.0
HD,16,37.5,56.7,4.6,24.7,0.45,203.0
HON,24,12.5,-15.4,-1.66,37.5,-0.13,177.0
INTC,19,26.3,201.1,11.66,33.0,0.67,393.0
IWM,23,13.0,46.4,3.89,26.8,0.37,193.0
JNJ,18,11.1,23.9,2.17,38.7,0.25,173.0
JPM,19,31.6,156.1,9.87,21.5,0.74,530.0
KO,22,13.6,-1.5,-0.15,33.6,0.04,154.0
LLY,20,40.0,206.2,11.85,20.9,0.77,1589.0
LMT,29,13.8,10.8,1.03,38.5,0.15,190.0
MCD,25,16.0,39.5,3.38,40.3,0.35,193.0
META,16,31.2,100.6,7.21,19.3,0.57,430.0
MS,18,27.8,80.1,6.06,29.1,0.5,894.0
MSFT,17,41.2,325.5,15.59,20.6,1.12,846.0
MU,32,12.5,791.2,24.46,38.7,0.99,6812.0
NFLX,20,30.0,293.5,14.69,29.0,0.83,834.0
NKE,20,15.0,-3.4,-0.35,24.0,0.01,-9.0
NOC,21,23.8,40.9,3.49,34.8,0.31,207.0
NVDA,14,57.1,1458.7,31.62,24.9,1.26,19711.0
ORCL,29,24.1,71.4,5.54,29.0,0.4,469.0
PFE,24,8.3,-22.3,-2.49,36.6,-0.19,27.0
PG,26,19.2,-6.5,-0.67,30.9,-0.01,137.0
PLTR,9,44.4,141.3,16.9,39.0,0.69,1341.0
QCOM,17,23.5,15.3,1.44,28.9,0.18,481.0
QQQ,17,47.1,157.6,9.93,22.0,0.84,624.0
RIVN,6,0.0,-13.4,-3.13,21.8,-0.43,-86.0
ROKU,17,17.6,30.1,3.09,37.1,0.27,434.0
RTX,20,25.0,48.6,4.04,32.8,0.36,258.0
SBUX,20,10.0,29.3,2.6,22.9,0.29,134.0
SHOP,17,41.2,294.1,14.71,23.4,0.84,3740.0
SLB,20,10.0,-13.1,-1.4,31.9,-0.08,1.0
SPY,20,35.0,49.1,4.08,20.0,0.5,328.0
TSLA,39,15.4,18.2,1.68,44.3,0.18,2855.0
UNH,27,14.8,12.0,1.14,30.0,0.16,251.0
WFC,21,23.8,11.6,1.1,25.6,0.15,107.0
WMT,18,33.3,172.2,10.54,19.9,0.78,516.0
XLE,26,3.8,-7.1,-0.74,34.8,-0.02,170.0
XLF,20,20.0,95.4,6.93,25.0,0.71,232.0
XLI,25,16.0,46.3,3.88,31.8,0.42,273.0
XLK,15,46.7,236.6,12.91,20.0,0.95,843.0
XLU,15,40.0,48.1,4.01,17.2,0.41,161.0
XLV,22,22.7,-2.3,-0.23,27.1,0.02,155.0
XOM,19,10.5,65.7,5.18,22.4,0.46,167.0
