ticker,trades,win%,net%,cagr%,dd%,sharpe,bh%
AAPL,36,38.9,77.6,5.91,11.0,0.92,1307.0
ABBV,40,32.5,51.3,4.23,11.4,0.63,449.0
ADBE,35,25.7,25.9,2.33,13.1,0.45,153.0
AMD,39,33.3,99.7,7.16,13.0,0.79,11472.0
AMZN,42,31.0,31.8,2.8,14.1,0.47,664.0
AVGO,43,30.2,49.1,4.08,13.6,0.56,3554.0
BA,42,19.0,20.0,1.84,28.2,0.35,88.0
BAC,35,37.1,15.9,1.48,12.8,0.3,347.0
C,30,30.0,31.0,2.74,13.5,0.49,274.0
CAT,33,27.3,95.9,6.96,13.3,0.94,1469.0
COIN,21,14.3,-5.0,-0.99,14.4,-0.18,-44.0
COP,32,31.2,8.9,0.85,12.3,0.2,276.0
CRM,28,35.7,31.6,2.78,11.1,0.5,124.0
CVX,47,14.9,-6.7,-0.69,25.1,-0.09,194.0
GE,26,23.1,37.2,3.22,10.9,0.57,141.0
GOOGL,40,32.5,45.0,3.79,11.0,0.61,977.0
GS,35,28.6,31.1,2.74,9.8,0.51,687.0
HD,33,36.4,22.5,2.05,9.5,0.45,203.0
HON,37,21.6,-4.4,-0.45,19.0,-0.07,177.0
INTC,35,25.7,31.3,2.76,10.6,0.44,393.0
IWM,41,24.4,-8.2,-0.85,18.9,-0.12,193.0
JNJ,40,22.5,5.3,0.52,20.5,0.12,173.0
JPM,37,35.1,38.4,3.3,12.6,0.57,530.0
KO,41,17.1,-1.7,-0.17,14.6,0.0,154.0
LLY,38,31.6,61.3,4.9,11.5,0.78,1589.0
LMT,38,21.1,33.1,2.9,18.6,0.46,190.0
MCD,37,21.6,18.9,1.74,18.2,0.29,193.0
META,34,35.3,29.7,2.64,12.8,0.41,430.0
MS,35,34.3,37.0,3.2,15.4,0.57,894.0
MSFT,38,36.8,87.2,6.47,10.6,0.9,846.0
MU,42,21.4,94.4,6.88,17.1,0.74,6812.0
NFLX,41,31.7,24.7,2.23,14.3,0.37,834.0
NKE,29,20.7,-0.5,-0.05,11.8,0.01,-9.0
NOC,43,18.6,6.5,0.63,24.7,0.13,207.0
NVDA,46,32.6,103.4,7.36,10.4,0.85,19711.0
ORCL,49,26.5,5.9,0.58,14.6,0.13,469.0
PFE,42,14.3,-2.1,-0.21,20.3,-0.01,27.0
PG,42,19.0,-12.2,-1.29,21.6,-0.2,137.0
PLTR,18,27.8,57.9,8.43,20.1,0.79,1341.0
QCOM,29,41.4,15.4,1.45,11.0,0.29,481.0
QQQ,41,36.6,64.9,5.13,8.5,0.92,624.0
RIVN,6,16.7,-3.2,-0.71,8.4,-0.19,-86.0
ROKU,24,20.8,33.9,3.43,16.4,0.52,434.0
RTX,45,26.7,7.8,0.76,17.0,0.16,258.0
SBUX,34,26.5,2.3,0.23,12.0,0.07,134.0
SHOP,35,40.0,84.3,6.31,9.8,0.8,3740.0
SLB,26,23.1,-8.0,-0.83,17.6,-0.16,1.0
SPY,39,43.6,53.2,4.36,9.7,0.85,328.0
TSLA,60,15.0,20.8,1.91,20.8,0.3,2855.0
UNH,40,15.0,-11.5,-1.22,21.5,-0.25,251.0
WFC,40,20.0,-3.6,-0.36,16.8,-0.05,107.0
WMT,42,33.3,37.4,3.23,11.3,0.52,516.0
XLE,39,20.5,-3.8,-0.39,19.3,-0.05,170.0
XLF,32,25.0,28.4,2.53,11.2,0.48,232.0
XLI,45,26.7,3.8,0.37,16.6,0.1,273.0
XLK,41,36.6,63.9,5.07,7.2,0.83,843.0
XLU,36,25.0,9.0,0.86,16.7,0.18,161.0
XLV,39,28.2,9.5,0.91,13.9,0.2,155.0
XOM,35,20.0,28.2,2.51,20.2,0.35,167.0
