ticker,trades,win%,net%,cagr%,dd%,sharpe,bh%
AAPL,35,40.0,200.1,11.62,18.3,0.96,1307.0
ABBV,35,37.1,84.1,6.3,16.7,0.62,449.0
ADBE,31,29.0,65.1,5.14,22.2,0.53,153.0
AMD,39,33.3,262.1,13.74,24.4,0.83,11472.0
AMZN,38,34.2,81.3,6.13,23.9,0.56,664.0
AVGO,41,31.7,119.6,8.19,23.5,0.61,3554.0
BA,37,21.6,45.2,3.8,40.8,0.42,88.0
BAC,33,39.4,21.4,1.96,19.7,0.27,347.0
C,28,32.1,65.1,5.14,20.1,0.52,274.0
CAT,30,30.0,259.1,13.64,20.2,1.0,1469.0
COIN,20,15.0,-8.7,-1.76,25.1,-0.14,-44.0
COP,31,32.3,19.6,1.81,22.1,0.24,276.0
CRM,27,37.0,63.2,5.02,20.1,0.5,124.0
CVX,41,17.1,-14.8,-1.58,38.4,-0.12,194.0
GE,22,27.3,91.9,6.74,17.4,0.66,141.0
GOOGL,35,37.1,121.6,8.29,16.8,0.71,977.0
GS,32,31.2,76.5,5.85,18.6,0.58,687.0
HD,31,38.7,52.7,4.33,15.4,0.51,203.0
HON,30,26.7,2.6,0.26,30.1,0.07,177.0
INTC,32,28.1,75.6,5.79,19.4,0.51,393.0
IWM,36,25.0,-21.2,-2.35,31.7,-0.2,193.0
JNJ,33,18.2,1.3,0.13,41.1,0.06,173.0
JPM,34,38.2,94.4,6.88,19.8,0.64,530.0
KO,31,16.1,-13.0,-1.39,23.8,-0.11,154.0
LLY,38,31.6,145.1,9.38,21.7,0.81,1589.0
LMT,35,22.9,43.8,3.7,31.5,0.39,190.0
MCD,32,25.0,21.6,1.98,31.9,0.24,193.0
META,33,36.4,67.8,5.32,21.5,0.48,430.0
MS,34,35.3,83.7,6.27,28.0,0.61,894.0
MSFT,35,40.0,185.8,11.08,15.9,0.92,846.0
MU,41,22.0,237.1,12.93,30.4,0.79,6812.0
NFLX,38,34.2,61.8,4.93,26.6,0.44,834.0
NKE,28,21.4,-0.4,-0.04,20.2,0.04,-9.0
NOC,33,24.2,15.7,1.47,35.4,0.19,207.0
NVDA,44,34.1,264.4,13.81,18.9,0.88,19711.0
ORCL,47,25.5,12.9,1.22,26.1,0.16,469.0
PFE,33,18.2,-10.4,-1.09,27.1,-0.09,27.0
PG,34,20.6,-20.7,-2.29,30.6,-0.22,137.0
PLTR,18,27.8,123.3,15.31,31.7,0.84,1341.0
QCOM,29,41.4,31.2,2.76,20.8,0.31,481.0
QQQ,36,41.7,144.0,9.34,12.9,0.95,624.0
RIVN,6,16.7,-6.3,-1.43,15.4,-0.18,-86.0
ROKU,24,20.8,68.9,6.25,28.4,0.53,434.0
RTX,37,29.7,24.0,2.17,21.5,0.26,258.0
SBUX,28,28.6,14.2,1.33,17.0,0.19,134.0
SHOP,33,42.4,228.2,12.62,17.7,0.87,3740.0
SLB,25,24.0,-14.7,-1.57,28.3,-0.15,1.0
SPY,26,30.8,35.7,3.1,15.1,0.45,328.0
TSLA,54,16.7,52.4,4.3,34.9,0.38,2855.0
UNH,39,15.4,-21.4,-2.38,37.4,-0.23,251.0
WFC,37,21.6,-5.7,-0.59,30.7,-0.02,107.0
WMT,38,31.6,81.0,6.11,19.1,0.56,516.0
XLE,37,21.6,-4.7,-0.48,29.8,-0.0,170.0
XLF,30,26.7,46.0,3.86,20.1,0.46,232.0
XLI,32,28.1,18.6,1.72,20.2,0.24,273.0
XLK,35,42.9,186.1,11.09,13.4,1.0,843.0
XLU,27,22.2,2.5,0.25,21.5,0.07,161.0
XLV,27,25.9,2.1,0.21,19.5,0.06,155.0
XOM,31,19.4,15.1,1.42,34.2,0.19,167.0
