ticker,close,stacked,ema50_rising,breakout,danger,atr,stop,risk_pct_per_share,above_200ma_pct,above_50ma_pct,signal_strength
AAPL,308.82,True,True,True,False,5.94,296.94,3.8,16.6,9.9,3
ABBV,215.7,False,True,True,False,5.33,209.93,2.7,2.5,2.7,2
ADBE,244.76,False,False,False,True,9.41,251.45,-2.7,-21.8,-2.7,-4
AMD,467.51,True,True,True,False,25.24,417.03,10.8,48.5,28.4,3
AMZN,266.32,True,True,False,False,6.66,253.0,5.0,13.3,6.4,2
ASTS,105.86,True,True,True,False,8.27,89.33,15.6,29.2,20.8,3
AVGO,414.14,True,True,False,False,14.7,389.88,5.9,16.9,5.9,2
BA,219.02,False,True,False,False,7.02,223.29,-1.9,-0.1,-1.9,1
BAC,51.8,False,False,True,False,1.08,51.41,0.8,2.6,0.8,1
C,125.09,False,True,False,False,3.17,122.25,2.3,12.7,2.3,1
CAT,879.89,True,True,True,False,27.94,824.01,6.4,25.7,7.1,3
COIN,184.99,False,True,False,True,12.76,194.76,-5.3,-25.1,-5.3,-3
COP,120.46,True,True,False,False,3.48,119.6,0.7,12.2,0.7,2
COST,1028.24,True,True,False,False,22.07,1012.14,1.6,5.1,1.6,2
CRM,180.07,False,False,True,True,7.48,183.7,-2.0,-19.4,-2.0,-3
CVX,191.43,True,True,False,False,4.66,187.63,2.0,11.2,2.0,2
DELL,295.19,True,True,True,False,15.05,265.09,10.2,46.5,29.9,3
DIA,506.12,True,True,True,False,5.53,495.07,2.2,6.8,3.4,3
GD,342.89,False,False,True,False,7.15,341.49,0.4,2.8,0.4,1
GE,302.84,False,False,False,False,9.51,297.35,1.8,3.2,1.8,0
GOOGL,382.97,True,True,False,False,9.88,363.2,5.2,21.9,7.3,2
GS,996.73,True,True,False,False,25.43,945.86,5.1,15.7,8.0,2
HD,313.07,False,False,False,True,8.38,327.52,-4.6,-12.1,-4.6,-4
HON,227.92,False,False,True,False,5.1,220.52,3.2,5.9,3.2,1
INTC,119.84,True,True,True,False,8.0,103.84,13.4,55.4,28.7,3
IRDM,48.84,True,True,True,False,2.57,43.71,10.5,43.8,24.2,3
IWM,285.12,True,True,True,False,5.03,275.07,3.5,11.7,4.8,3
JNJ,234.34,False,False,True,False,4.06,230.86,1.5,9.7,1.5,1
JPM,306.38,False,False,True,False,6.01,303.45,1.0,2.6,1.0,1
KO,81.48,True,True,False,False,1.19,79.09,2.9,9.4,4.2,2
