day,ticker,lb,kind,level,notional,approach,outcome,deflect
2026-04-10,QQQ,lb1,real,610.1575,122031500.0,support,deflect,1
2026-04-10,QQQ,lb1,real,610.1575,122031500.0,resistance,break,0
2026-04-10,QQQ,lb1,real,610.1575,122031500.0,support,deflect,1
2026-04-10,QQQ,lb1,real,610.1575,122031500.0,support,deflect,1
2026-04-10,QQQ,lb5,real,610.1575,122031500.0,support,deflect,1
2026-04-10,QQQ,lb5,real,610.1575,122031500.0,resistance,break,0
2026-04-10,QQQ,lb5,real,610.1575,122031500.0,support,deflect,1
2026-04-10,QQQ,lb5,real,610.1575,122031500.0,support,deflect,1
2026-04-10,QQQ,lb5,placebo,612.1802946274363,122031500.0,resistance,deflect,1
2026-04-10,QQQ,lb5,placebo,612.1802946274363,122031500.0,resistance,deflect,1
2026-04-10,QQQ,lb5,placebo,612.1802946274363,122031500.0,support,deflect,1
2026-04-10,QQQ,lb5,placebo,612.1802946274363,122031500.0,resistance,break,0
2026-04-10,QQQ,lb5,placebo,612.1802946274363,122031500.0,support,deflect,1
2026-04-10,QQQ,lb5,placebo,612.1802946274363,122031500.0,support,break,0
2026-04-10,SPY,lb1,placebo,680.0414336875331,405502560.0,support,break,0
2026-04-10,SPY,lb1,placebo,680.0414336875331,405502560.0,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,680.0414336875331,405502560.0,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,680.3336397065715,405502560.0,support,deflect,1
2026-04-10,SPY,lb1,placebo,680.3336397065715,405502560.0,support,deflect,1
2026-04-10,SPY,lb1,placebo,680.3336397065715,405502560.0,support,deflect,1
2026-04-10,SPY,lb1,placebo,680.3336397065715,405502560.0,support,break,0
2026-04-10,SPY,lb1,real,679.91,227494486.45,resistance,deflect,1
2026-04-10,SPY,lb1,real,679.91,227494486.45,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,679.3739133496924,209541392.4,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,679.7812969119332,209541392.4,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,679.7812969119332,209541392.4,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,679.7812969119332,209541392.4,resistance,deflect,1
2026-04-10,SPY,lb1,placebo,679.7812969119332,209541392.4,resistance,deflect,1
2026-04-10,SPY,lb5,placebo,678.896763450825,405502560.0,support,deflect,1
2026-04-10,SPY,lb5,real,679.91,227494486.45,resistance,deflect,1
2026-04-10,SPY,lb5,real,679.91,227494486.45,resistance,deflect,1
2026-04-10,SPY,lb5,placebo,682.2531117533983,227494486.45,resistance,deflect,1
2026-04-10,SPY,lb5,placebo,679.9325520413312,209541392.4,resistance,deflect,1
2026-04-10,SPY,lb5,placebo,679.9325520413312,209541392.4,resistance,deflect,1
2026-04-13,QQQ,lb1,placebo,609.0781126978026,125667869.5734,support,deflect,1
2026-04-13,QQQ,lb1,real,613.21,97096284.61,resistance,break,0
2026-04-13,QQQ,lb1,real,613.21,97096284.61,support,deflect,1
2026-04-13,QQQ,lb1,placebo,610.7830317951104,97096284.61,resistance,break,0
2026-04-13,QQQ,lb1,placebo,610.7830317951104,97096284.61,support,deflect,1
2026-04-13,QQQ,lb1,real,611.0038,79430494.0,resistance,break,0
2026-04-13,QQQ,lb1,real,611.0038,79430494.0,support,deflect,1
2026-04-13,QQQ,lb1,real,611.0038,79430494.0,support,deflect,1
