feature,n,ev_lo,ev_mid,ev_hi,gap,best,mono,holds4
accel,483,7.874672017286619,14.901986071704926,-24.367861622763584,32.242533640050205,lo,False,4
dn_vex_mass,537,5.697262479871177,0.4499173266034288,-17.86512517166785,23.562387651539026,lo,True,4
rv_expansion,448,-21.07482766520191,10.70661800225431,1.3753484575459338,22.45017612274784,hi,False,4
vex_asym,537,-14.689398623911742,-4.161025435609853,6.3404114402022484,21.029810064113992,hi,True,4
nflags,537,4.787109527401359,-6.538806639748766,-14.962695339082662,19.74980486648402,lo,True,4
dn_gex_mass,537,3.8502517962681337,-0.45517744929742593,-14.247309427053098,18.097561223321232,lo,True,4
up_gex_mass,537,-13.841442729964884,-1.2591140486134238,3.9257209463728007,17.767163676337685,hi,True,4
onesided15,537,8.310535956419345,-3.8061940046484826,-9.329472445932495,17.64000840235184,lo,True,4
f5,537,5.3033619661538935,-4.052686201903981,-11.553133125696489,16.856495091850384,lo,True,4
gex_asym,537,-13.91606068436012,0.01674799595003007,2.4802787154539057,16.396339399814025,hi,True,4
wall_dn_thick,537,1.7076941674990944,-2.3934181002243826,-14.033236020660228,15.740930188159322,lo,True,4
up_vex_mass,537,-13.939053647082844,-0.05013327094526226,1.0565844627900163,14.99563810987286,hi,True,4
rv_after_bps,537,-15.037847516947084,1.11344913658707,-0.46489183108930077,14.572955685857783,hi,False,4
net_gex_global,537,3.24924403628626,-5.854659891932242,-11.196025132569849,14.44526916885611,lo,True,4
m30_px_move_bps,407,-9.046984927584054,-2.2959755739938936,4.803889678314017,13.85087460589807,hi,True,4
density_100bps,537,-3.9319136745607324,6.139007050004464,-17.286054101897438,13.354140427336706,lo,False,4
net_gex_local,537,2.2521820976577582,-4.987356125304847,-11.00559329241035,13.257775390068108,lo,True,4
flip_dist_bps,537,-4.106977277226175,3.284376084191049,-17.216952226879428,13.109974949653253,lo,False,4
wall_up_isolation,537,-5.641601388073792,-15.738529439066994,7.004868650576689,12.646470038650481,hi,False,4
spot_vs_twap_bps,537,-8.214760495733094,-3.8162629079480705,4.358497288310043,12.573257784043136,hi,True,4
room_consumed_pct,537,-5.964192243635499,-8.481625491449057,6.159790380601325,12.123982624236824,hi,False,4
prem_pct,537,-13.9609375,3.053182152005303,-3.0833688133627035,10.877568686637296,hi,False,4
breakeven_bps,537,-13.9609375,3.053182152005303,-3.0833688133627035,10.877568686637296,hi,False,4
wall_up_share,537,-7.701061756195596,-2.092386451574498,2.982549541555753,10.683611297751348,hi,True,4
net_vex_local,537,-8.562403014852581,-4.780986835841823,1.96035103226214,10.522754047114722,hi,True,4
