policy,removed,n,kept_pct,total_pnl,ret_on_cap_pct,avg_ret_pct,med_ret_pct,win_rate,profit_factor,max_drawdown,avg_mae_pct,avg_mfe_pct,med_t_peak_min,pnl_per_day,worst_day,best_day,top5pct_share,ret_odd,ret_even,ret_H1,ret_H2,delta_vs_full,delta_vs_baseline
FULL_COMBINED,-,85,6.4,5310,7.81,-0.33,-4.88,45.9,1.37,-2234,-33.3,52.1,10.0,118,-2052,5445,229.0,17.0,-11.6,-3.3,15.2,0.0,12.32
remove_flow,flow,139,10.5,5535,7.29,1.71,-6.62,46.0,1.35,-2404,-30.3,60.4,9.0,102,-2052,5313,251.0,15.4,-8.0,-2.4,14.2,-0.52,11.8
remove_premium_efficiency,premium_efficiency,86,6.5,5380,7.9,0.17,-4.41,46.5,1.38,-2234,-32.9,56.1,10.0,120,-2052,5445,226.0,17.0,-11.2,-3.0,15.2,0.09,12.41
remove_time_filter,time_filter,96,7.3,4982,7.14,-1.64,-6.12,45.8,1.34,-2383,-34.9,52.3,10.0,104,-2052,5445,244.0,15.9,-11.2,-3.5,14.4,-0.67,11.65
remove_flags,flags,85,6.4,5310,7.81,-0.33,-4.88,45.9,1.37,-2234,-33.3,52.1,10.0,118,-2052,5445,229.0,17.0,-11.6,-3.3,15.2,0.0,12.32
remove_convexity,convexity,86,6.5,4975,7.1,-0.52,-6.12,45.3,1.34,-2430,-33.1,51.5,10.0,111,-2052,5445,245.0,17.0,-12.0,-3.3,13.7,-0.71,11.61
remove_wall_distance,wall_distance,99,7.5,4423,5.93,-0.93,-4.88,46.5,1.27,-3400,-33.4,54.4,10.0,94,-2092,5445,278.0,13.9,-12.2,1.2,9.2,-1.88,10.44
remove_confirmation_entry,confirmation_entry,191,14.4,2677,2.14,-3.74,-3.78,40.8,1.08,-4226,-38.0,40.8,9.0,48,-3125,3718,826.0,4.1,-0.8,0.0,4.3,-5.67,6.65
remove_spxw_penalty,spxw_penalty,86,6.5,5655,8.18,0.04,-4.41,46.5,1.4,-2234,-33.3,53.1,10.0,123,-2052,5445,215.0,17.3,-11.6,-1.9,15.2,0.37,12.69
remove_stack_sizing,stack_sizing,85,6.4,4499,9.21,-0.33,-4.88,45.9,1.45,-1430,-33.3,52.1,10.0,100,-1416,3630,195.0,18.4,-11.3,-0.0,14.9,1.4,13.72
