ticker,et,ts,spot,day_hi,day_lo,range_sofar,pos_in_range,or_hi,or_lo,prior_close,prior_high,prior_low,king,king_sign,king_side,king_share
SPXW,09:30,2026-07-01T13:30:00.000Z,7499.36,7499.36,7499.36,0.00,0.5000,7499.36,7499.36,,,,7540,pika,above,0.1175
SPXW,09:31,2026-07-01T13:31:00.000Z,7466.41,7499.36,7466.41,32.95,0.0000,7499.36,7466.41,,,,7445,pika,below,0.1264
SPXW,09:32,2026-07-01T13:32:00.000Z,7464.39,7499.36,7464.39,34.97,0.0000,7499.36,7464.39,,,,7445,pika,below,0.1344
SPXW,09:33,2026-07-01T13:33:00.000Z,7461.45,7499.36,7461.45,37.91,0.0000,7499.36,7461.45,,,,7445,pika,below,0.1314
SPXW,09:34,2026-07-01T13:34:00.000Z,7454.42,7499.36,7454.42,44.94,0.0000,7499.36,7454.42,,,,7445,pika,below,0.1288
SPXW,09:35,2026-07-01T13:35:00.000Z,7451.72,7499.36,7451.72,47.64,0.0000,7499.36,7451.72,,,,7445,pika,below,0.1304
SPXW,09:36,2026-07-01T13:36:00.000Z,7451.88,7499.36,7451.72,47.64,0.0034,7499.36,7451.72,,,,7445,pika,below,0.1292
SPXW,09:37,2026-07-01T13:37:00.000Z,7453.02,7499.36,7451.72,47.64,0.0273,7499.36,7451.72,,,,7445,pika,below,0.1276
SPXW,09:38,2026-07-01T13:38:00.000Z,7454.68,7499.36,7451.72,47.64,0.0621,7499.36,7451.72,,,,7445,pika,below,0.1273
SPXW,09:39,2026-07-01T13:39:00.000Z,7454.70,7499.36,7451.72,47.64,0.0626,7499.36,7451.72,,,,7445,pika,below,0.1267
SPXW,09:40,2026-07-01T13:40:00.000Z,7457.81,7499.36,7451.72,47.64,0.1278,7499.36,7451.72,,,,7445,pika,below,0.126
SPXW,09:41,2026-07-01T13:41:00.000Z,7460.02,7499.36,7451.72,47.64,0.1742,7499.36,7451.72,,,,7445,pika,below,0.1253
SPXW,09:42,2026-07-01T13:42:00.000Z,7460.10,7499.36,7451.72,47.64,0.1759,7499.36,7451.72,,,,7445,pika,below,0.1265
