feature,ticker,horizon,pearson,spearman,n
VIX,SPY,5m,0.006295424300595155,0.021718335972176785,4992
VIX,SPY,15m,0.03227049800108446,0.036095667743829836,4864
VIX,SPY,30m,0.04466984462032949,0.033450278844205976,4672
VIX,SPY,1h,0.05768692015755596,0.04311237674836718,4288
VIX,SPY,eod,0.17480670146468288,0.14662078100615694,5056
VIX,QQQ,5m,0.009548171309856164,0.025913065956087486,4992
VIX,QQQ,15m,0.036094569168997136,0.04116812501573323,4864
VIX,QQQ,30m,0.05315748746041435,0.04267514705495368,4672
VIX,QQQ,1h,0.0697328182794173,0.06133236813635816,4288
VIX,QQQ,eod,0.20673166624071865,0.1694683853853813,5056
VIX,SPXW,5m,0.005975775245133003,0.023033448921407917,4992
VIX,SPXW,15m,0.0329580146540784,0.03549953398773031,4864
VIX,SPXW,30m,0.045300960953159775,0.03421425472462788,4672
VIX,SPXW,1h,0.05840722828631323,0.04417080617982901,4288
VIX,SPXW,eod,0.18997216855695004,0.1586257470659596,5056
vix_chg_open,SPY,5m,0.01227764045643084,0.012451686553586158,4992
vix_chg_open,SPY,15m,0.015234802768817522,-0.001227657821459001,4864
vix_chg_open,SPY,30m,0.006994643423771807,-0.011932869008285753,4672
vix_chg_open,SPY,1h,0.0164073889930182,-0.018799110420623977,4288
vix_chg_open,SPY,eod,0.06156996248859504,0.11209562295847397,5056
vix_chg_open,QQQ,5m,0.012568047411585744,0.027488758470504117,4992
vix_chg_open,QQQ,15m,0.01901293929515831,0.021673641270142898,4864
vix_chg_open,QQQ,30m,0.018999345924131814,0.02594747035208191,4672
vix_chg_open,QQQ,1h,0.036550017909158516,0.03836156214123718,4288
vix_chg_open,QQQ,eod,0.10065646539766011,0.19255504449340535,5056
vix_chg_open,SPXW,5m,0.010282295772678281,0.012180116359485195,4992
vix_chg_open,SPXW,15m,0.015024017863180025,0.0005577590873061902,4864
vix_chg_open,SPXW,30m,0.0074093221179668284,-0.011387014116949406,4672
vix_chg_open,SPXW,1h,0.017196852821839373,-0.01839069553633053,4288
vix_chg_open,SPXW,eod,0.04794793676445639,0.10158475753957448,5056
vix_roc_5m,SPY,5m,0.014850668409840508,0.03060567098721054,4928
vix_roc_5m,SPY,15m,0.026603812723038762,0.022634387783183944,4800
vix_roc_5m,SPY,30m,0.011081499084597714,-0.003561992811371445,4608
vix_roc_5m,SPY,1h,0.023072982086331646,0.0026373663042263875,4224
vix_roc_5m,SPY,eod,0.016275533036627772,0.0005031156538123887,4992
vix_roc_5m,QQQ,5m,0.013828384941607754,0.028532370745820036,4928
vix_roc_5m,QQQ,15m,0.01516796453829321,0.013264090746133534,4800
vix_roc_5m,QQQ,30m,0.009387243271578277,-0.0055174400487086744,4608
vix_roc_5m,QQQ,1h,0.02235303979204438,0.00269616973285894,4224
vix_roc_5m,QQQ,eod,0.01927408659402023,0.006378976744817645,4992
vix_roc_5m,SPXW,5m,0.00731910209886738,0.025569597297190917,4928
vix_roc_5m,SPXW,15m,0.022935661778678812,0.02325857195366876,4800
vix_roc_5m,SPXW,30m,0.010528890879768904,-0.0007206152418010711,4608
vix_roc_5m,SPXW,1h,0.0207742594132415,0.004203809806874774,4224
vix_roc_5m,SPXW,eod,0.01340404830517723,-0.0005477640408283756,4992
vix_roc_15m,SPY,5m,0.0268233507713796,0.010454861046464944,4800
vix_roc_15m,SPY,15m,0.04206346636576999,0.006309532773768277,4672
vix_roc_15m,SPY,30m,-0.0002445037178957398,-0.02724091853955115,4480
vix_roc_15m,SPY,1h,0.034505606145111,-0.0031229872793139984,4096
vix_roc_15m,SPY,eod,0.020135892733426263,0.004371808409704627,4864
vix_roc_15m,QQQ,5m,0.01575482955365426,0.0089119969641778,4800
vix_roc_15m,QQQ,15m,0.03753773221686402,0.013256521103811545,4672
vix_roc_15m,QQQ,30m,-0.001244498309549019,-0.01672497456241224,4480
vix_roc_15m,QQQ,1h,0.03645156828634704,0.007948107661604158,4096
vix_roc_15m,QQQ,eod,0.025943429795937285,0.017950437665608332,4864
vix_roc_15m,SPXW,5m,0.022651972040649376,0.00906238700217445,4800
vix_roc_15m,SPXW,15m,0.041916233355033305,0.010302949808585092,4672
vix_roc_15m,SPXW,30m,0.0016895012482524676,-0.02432465254035302,4480
vix_roc_15m,SPXW,1h,0.034672740777606056,-0.0012337531144425021,4096
vix_roc_15m,SPXW,eod,0.016727638176406674,0.0028582414336574763,4864
vix_roc_1h,SPY,5m,0.017648983618031244,-0.009153492110369456,4224
vix_roc_1h,SPY,15m,0.01766245970604481,-0.01161001800028064,4096
vix_roc_1h,SPY,30m,-0.025781090972949165,-0.03814896308863771,3904
vix_roc_1h,SPY,1h,-0.059048749542297996,-0.07822482381153484,3520
vix_roc_1h,SPY,eod,0.014853731263765992,-0.007973017799290683,4288
vix_roc_1h,QQQ,5m,0.023037193514648845,0.0013309827946831828,4224
vix_roc_1h,QQQ,15m,0.02062316613950739,0.0012726826314077267,4096
vix_roc_1h,QQQ,30m,-0.025573699545008804,-0.014416098039641537,3904
vix_roc_1h,QQQ,1h,-0.07704792276850238,-0.06396475471189299,3520
vix_roc_1h,QQQ,eod,0.00838828225049248,0.021895637146247687,4288
vix_roc_1h,SPXW,5m,0.013288686615588116,-0.011161792956750004,4224
vix_roc_1h,SPXW,15m,0.015697135622046134,-0.012452157019388045,4096
vix_roc_1h,SPXW,30m,-0.02699488408965068,-0.039752466149111945,3904
vix_roc_1h,SPXW,1h,-0.059608262151045026,-0.07928034486087449,3520
vix_roc_1h,SPXW,eod,0.008969843158088842,-0.011269968145662654,4288
vix_z,SPY,5m,0.006295424300595151,0.021718335972176785,4992
vix_z,SPY,15m,0.03227049800108449,0.036095667743829836,4864
vix_z,SPY,30m,0.04466984462032947,0.033450278844205976,4672
vix_z,SPY,1h,0.05768692015755595,0.04311237674836718,4288
vix_z,SPY,eod,0.17480670146468275,0.14662078100615694,5056
vix_z,QQQ,5m,0.009548171309856173,0.025913065956087486,4992
vix_z,QQQ,15m,0.03609456916899713,0.04116812501573323,4864
vix_z,QQQ,30m,0.05315748746041434,0.04267514705495368,4672
vix_z,QQQ,1h,0.0697328182794173,0.06133236813635816,4288
vix_z,QQQ,eod,0.20673166624071845,0.1694683853853813,5056
vix_z,SPXW,5m,0.00597577524513301,0.023033448921407917,4992
vix_z,SPXW,15m,0.03295801465407844,0.03549953398773031,4864
vix_z,SPXW,30m,0.04530096095315981,0.03421425472462788,4672
vix_z,SPXW,1h,0.05840722828631324,0.04417080617982901,4288
vix_z,SPXW,eod,0.18997216855694998,0.1586257470659596,5056
