ticker,horizon,bucket,n,mean_fwd_bps,pct_up
SPY,15m,VIX rising (roc15>+0.05),1301,0.4730457097720644,52.19062259800153
SPY,15m,VIX falling (roc15<-0.05),1608,-0.32168107511890476,51.865671641791046
SPY,15m,VIX flat,1763,0.4973417852487046,48.95065229722065
SPY,30m,VIX rising (roc15>+0.05),1244,-0.1777924976734322,50.241157556270096
SPY,30m,VIX falling (roc15<-0.05),1541,0.015885932688016257,52.95262816353018
SPY,30m,VIX flat,1695,0.8592608316317818,50.383480825958706
SPY,1h,VIX rising (roc15>+0.05),1139,0.4038338883967181,53.02897278314311
SPY,1h,VIX falling (roc15<-0.05),1426,-0.09526284043634103,53.71669004207573
SPY,1h,VIX flat,1531,0.4856606656620995,49.183540169823644
QQQ,15m,VIX rising (roc15>+0.05),1301,0.913332009972519,52.88239815526518
QQQ,15m,VIX falling (roc15<-0.05),1608,-0.34354569299814636,52.363184079601986
QQQ,15m,VIX flat,1763,0.6035555481430601,47.53261486103233
QQQ,30m,VIX rising (roc15>+0.05),1244,0.38828449335296844,53.21543408360129
QQQ,30m,VIX falling (roc15<-0.05),1541,0.29772859595919093,54.31537962362103
QQQ,30m,VIX flat,1695,1.1953462941563604,49.557522123893804
QQQ,1h,VIX rising (roc15>+0.05),1139,1.6581380558678716,56.628621597892895
QQQ,1h,VIX falling (roc15<-0.05),1426,0.45759157061875755,54.62833099579243
QQQ,1h,VIX flat,1531,1.0292301621614588,49.70607446113651
SPXW,15m,VIX rising (roc15>+0.05),1301,0.4827393969311054,52.72867025365103
SPXW,15m,VIX falling (roc15<-0.05),1608,-0.34254532218474265,51.61691542288557
SPXW,15m,VIX flat,1763,0.4594699197234348,48.723766307430516
SPXW,30m,VIX rising (roc15>+0.05),1244,-0.1701491595613774,50.40192926045016
SPXW,30m,VIX falling (roc15<-0.05),1541,-0.05396081392136056,53.14730694354315
SPXW,30m,VIX flat,1695,0.8277354424594755,50.61946902654867
SPXW,1h,VIX rising (roc15>+0.05),1139,0.393113890150119,53.46795434591747
SPXW,1h,VIX falling (roc15<-0.05),1426,-0.1550867116767856,53.50631136044881
SPXW,1h,VIX flat,1531,0.43421865872115334,48.791639451338995
