day,ticker,dir,entry,pnl_base,via_base,pnl_ext,via_ext,suppressed,changed
2026-04-10,SPY,1,0.92,60.0,STRUCT_anchor,60.0,STRUCT_anchor,0,False
2026-04-10,SPXW,1,8.4,419.99999999999994,STRUCT_anchor,419.99999999999994,STRUCT_anchor,0,False
2026-04-10,SPY,1,0.96,-6.999999999999995,STRUCT_pin,-6.999999999999995,STRUCT_pin,0,False
2026-04-13,SPXW,1,13.7,719.9999999999999,TRAIL,719.9999999999999,TRAIL,0,False
2026-04-13,QQQ,1,1.32,47.0,TRAIL,47.0,TRAIL,0,False
2026-04-13,SPY,1,1.05,0.0,STRUCT_pin,0.0,STRUCT_pin,0,False
2026-04-13,SPY,1,1.32,-26.0,STRUCT_pin,-26.0,STRUCT_pin,0,False
2026-04-13,SPXW,1,6.3,470.0,TRAIL,470.0,TRAIL,0,False
2026-04-14,SPY,1,1.01,56.00000000000001,TRAIL,56.00000000000001,TRAIL,0,False
2026-04-14,QQQ,1,0.8,47.0,TRAIL,47.0,TRAIL,0,False
2026-04-14,QQQ,1,0.81,-6.000000000000005,STRUCT_anchor,-6.000000000000005,STRUCT_anchor,0,False
2026-04-14,SPXW,1,8.51,-100.99999999999997,STRUCT_anchor,-100.99999999999997,STRUCT_anchor,0,False
2026-04-14,QQQ,1,0.89,-59.00000000000001,STRUCT_anchor,-59.00000000000001,STRUCT_anchor,0,False
2026-04-14,SPXW,1,7.5,-394.0,EOD,-394.0,EOD,0,False
2026-04-14,SPY,1,0.8,28.000000000000004,TRAIL,28.000000000000004,TRAIL,0,False
2026-04-14,QQQ,1,0.73,18.000000000000004,TRAIL,18.000000000000004,TRAIL,0,False
2026-04-15,QQQ,1,1.65,-3.9999999999999813,STRUCT_anchor,-3.9999999999999813,STRUCT_anchor,0,False
2026-04-15,SPXW,1,10.3,59.999999999999964,STRUCT_anchor,59.999999999999964,STRUCT_anchor,0,False
2026-04-15,SPY,1,1.12,33.999999999999986,TRAIL,33.999999999999986,TRAIL,0,False
2026-04-15,QQQ,1,0.67,43.00000000000001,TRAIL,43.00000000000001,TRAIL,0,False
2026-04-16,SPXW,-1,15.0,-1495.0,STRUCT_pin,-1495.0,STRUCT_pin,0,False
2026-04-16,QQQ,1,1.08,-56.00000000000001,STRUCT_pin,-56.00000000000001,STRUCT_pin,0,False
2026-04-16,SPY,1,0.65,-44.00000000000001,STRUCT_pin,-44.00000000000001,STRUCT_pin,0,False
2026-04-16,SPY,1,0.99,-53.0,STRUCT_pin,-50.0,STRUCT_pin,3,True
2026-04-16,SPY,1,0.55,-8.000000000000007,STRUCT_anchor,-8.000000000000007,STRUCT_anchor,0,False
2026-04-17,SPY,1,1.75,114.00000000000001,TRAIL,114.00000000000001,TRAIL,0,False
2026-04-17,QQQ,1,1.12,26.99999999999998,TRAIL,26.99999999999998,TRAIL,0,False
2026-04-17,SPXW,1,10.1,-560.0,STRUCT_pin,-560.0,STRUCT_pin,0,False
2026-04-17,QQQ,1,0.55,1.0000000000000009,TRAIL,1.0000000000000009,TRAIL,0,False
2026-04-20,SPXW,1,15.5,-1050.0,STRUCT_anchor,-1050.0,STRUCT_anchor,0,False
2026-04-20,QQQ,-1,2.04,6.000000000000005,STRUCT_pin,6.000000000000005,STRUCT_pin,0,False
2026-04-20,QQQ,-1,1.45,37.000000000000014,STRUCT_anchor,37.000000000000014,STRUCT_anchor,0,False
2026-04-20,QQQ,1,1.46,-41.99999999999999,STRUCT_pin,-41.99999999999999,STRUCT_pin,0,False
2026-04-20,SPXW,-1,13.7,310.99999999999994,TRAIL,310.99999999999994,TRAIL,0,False
2026-04-20,QQQ,-1,1.76,72.0,TRAIL,72.0,TRAIL,0,False
2026-04-20,SPXW,-1,11.9,-900.0,STRUCT_pin,-950.0,STRUCT_pin,1,True
2026-04-20,SPY,-1,0.81,-28.000000000000004,STRUCT_pin,-28.000000000000004,STRUCT_pin,0,False
2026-04-20,SPXW,-1,5.0,190.00000000000003,STRUCT_pin,229.99999999999997,TRAIL,3,True
2026-04-20,SPXW,1,5.8,-200.0,STRUCT_pin,-200.0,STRUCT_pin,0,False
2026-04-21,SPY,1,1.49,-76.0,STRUCT_anchor,-76.0,STRUCT_anchor,0,False
2026-04-21,SPY,-1,1.9,-61.999999999999986,STRUCT_anchor,-61.999999999999986,STRUCT_anchor,0,False
2026-04-21,SPXW,-1,16.5,184.0,STRUCT_pin,184.0,STRUCT_pin,0,False
2026-04-21,SPXW,1,15.5,-810.0,STRUCT_anchor,-810.0,STRUCT_anchor,0,False
2026-04-21,SPY,-1,1.33,27.0,STRUCT_anchor,27.0,STRUCT_anchor,0,False
2026-04-21,SPXW,1,8.8,-270.0000000000001,STRUCT_pin,-270.0000000000001,STRUCT_pin,0,False
2026-04-21,QQQ,1,1.41,118.0,STRUCT_anchor,118.0,STRUCT_anchor,0,False
2026-04-21,QQQ,-1,1.36,-38.000000000000014,STRUCT_anchor,-132.0,STRUCT_pin,1,True
2026-04-21,SPY,1,0.74,12.0,TRAIL,12.0,TRAIL,0,False
2026-04-21,SPY,-1,0.84,35.0,TRAIL,35.0,TRAIL,0,False
2026-04-21,SPXW,-1,7.5,-730.0,STRUCT_pin,-730.0,STRUCT_pin,0,False
2026-04-21,SPY,-1,0.91,-79.0,STRUCT_pin,148.99999999999997,TRAIL,1,True
