day,ticker,det,confirmed,outcome,lat_min,fwd60
2026-04-10,SPY,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPY,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPY,C3 breach+build,False,REJECTED,,
2026-04-10,SPY,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPY,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPY,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPY,C3 breach+build,False,REJECTED,,
2026-04-10,SPY,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPY,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPY,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPY,C3 breach+build,False,REJECTED,,
2026-04-10,SPY,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPY,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPY,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPY,C3 breach+build,False,REJECTED,,
2026-04-10,SPY,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPY,C1 dominance-handoff,False,CHOP,,
2026-04-10,SPY,C2 relsig-surge,False,CHOP,,
2026-04-10,SPY,C3 breach+build,False,CHOP,,
2026-04-10,SPY,C4 dollar-surge,False,CHOP,,
2026-04-10,SPY,C1 dominance-handoff,False,CHOP,,
2026-04-10,SPY,C2 relsig-surge,False,CHOP,,
2026-04-10,SPY,C3 breach+build,True,CHOP,10.0,-0.14726239213016384
2026-04-10,SPY,C4 dollar-surge,False,CHOP,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,QQQ,C1 dominance-handoff,False,REJECTED,,
2026-04-10,QQQ,C2 relsig-surge,False,REJECTED,,
2026-04-10,QQQ,C3 breach+build,False,REJECTED,,
2026-04-10,QQQ,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPXW,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPXW,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPXW,C3 breach+build,False,REJECTED,,
2026-04-10,SPXW,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPXW,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPXW,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPXW,C3 breach+build,False,REJECTED,,
2026-04-10,SPXW,C4 dollar-surge,False,REJECTED,,
2026-04-10,SPXW,C1 dominance-handoff,False,REJECTED,,
2026-04-10,SPXW,C2 relsig-surge,False,REJECTED,,
2026-04-10,SPXW,C3 breach+build,False,REJECTED,,
2026-04-10,SPXW,C4 dollar-surge,False,REJECTED,,
2026-04-13,SPY,C1 dominance-handoff,False,CHOP,,
2026-04-13,SPY,C2 relsig-surge,True,CHOP,10.0,23.138595767258888
2026-04-13,SPY,C3 breach+build,True,CHOP,5.0,10.311404413280085
2026-04-13,SPY,C4 dollar-surge,False,CHOP,,
2026-04-13,SPY,C1 dominance-handoff,False,CHOP,,
2026-04-13,SPY,C2 relsig-surge,True,CHOP,45.0,-14.988758431176349
2026-04-13,SPY,C3 breach+build,True,CHOP,45.0,-14.988758431176349
2026-04-13,SPY,C4 dollar-surge,False,CHOP,,
2026-04-13,SPY,C1 dominance-handoff,False,CHOP,,
2026-04-13,SPY,C2 relsig-surge,True,CHOP,15.0,-14.988758431176349
2026-04-13,SPY,C3 breach+build,True,CHOP,15.0,-14.988758431176349
2026-04-13,SPY,C4 dollar-surge,True,CHOP,70.0,40.03591457042388
